Subject,No,Question,Option A,Option B,Option C,Option D,Correct Answer (Full Text)
BK,Chapter 1 : Partnership Final Accounts,Goods distributed as free samples are debited to P&L A/c as:,Purchases,Advertisement,Charity,Discount,Advertisement
BK,Chapter 1 : Partnership Final Accounts,Goods withdrawn by a partner for personal use is called:,Capital,Drawings,Investment,Salary,Drawings
BK,Chapter 1 : Partnership Final Accounts,Interest on drawings is a/an ________ for the partnership firm.,Expense,Income,Asset,Liability,Income
BK,Chapter 1 : Partnership Final Accounts,Interest on capital is a/an ________ for the partnership firm.,Expense,Income,Asset,Liability,Expense
BK,Chapter 1 : Partnership Final Accounts,"If there are Fixed Capital Accounts, all adjustments are made in:",Capital A/c,Current A/c,Suspense A/c,Loan A/c,Current A/c
BK,Chapter 1 : Partnership Final Accounts,"If the Capital method is Fluctuating, all adjustments are made in:",Capital A/c,Current A/c,Suspense A/c,Cash A/c,Capital A/c
BK,Chapter 1 : Partnership Final Accounts,Gross Profit is transferred to the ________ side of the Profit & Loss A/c.,Debit,Credit,Asset,Liability,Credit
BK,Chapter 1 : Partnership Final Accounts,Net Profit is transferred to the ________ of Partners' Capital/Current A/c.,Debit,Credit,Asset,Liability,Credit
BK,Chapter 1 : Partnership Final Accounts,The debit balance of the Trading Account indicates:,Gross Profit,Gross Loss,Net Profit,Net Loss,Gross Loss
BK,Chapter 1 : Partnership Final Accounts,The credit balance of the Profit & Loss Account indicates:,Gross Profit,Gross Loss,Net Profit,Net Loss,Net Profit
BK,Chapter 1 : Partnership Final Accounts,Bills Receivable discounted but dishonoured is added to:,Debtors,Creditors,Cash,Capital,Debtors
BK,Chapter 1 : Partnership Final Accounts,Interest on Partner's Loan is debited to:,Trading A/c,Profit & Loss A/c,Capital A/c,Asset,Profit & Loss A/c
BK,Chapter 1 : Partnership Final Accounts,Unrecorded purchases are added to Purchases and:,Debtors,Creditors,Bills Payable,Capital,Creditors
BK,Chapter 1 : Partnership Final Accounts,Unrecorded sales are added to Sales and:,Debtors,Creditors,Cash,Stock,Debtors
BK,Chapter 1 : Partnership Final Accounts,"Goods destroyed by fire (fully insured), the insurance claim is an:",Expense,Asset,Liability,Income,Asset
BK,Chapter 1 : Partnership Final Accounts,Royalty paid on production is debited to:,Trading A/c,Profit & Loss A/c,Balance Sheet,Capital A/c,Trading A/c
BK,Chapter 1 : Partnership Final Accounts,Royalty paid on sales is debited to:,Trading A/c,Profit & Loss A/c,Balance Sheet,Capital A/c,Profit & Loss A/c
BK,Chapter 1 : Partnership Final Accounts,Commission received in advance is a/an:,Asset,Liability,Income,Expense,Liability
BK,Chapter 1 : Partnership Final Accounts,Income accrued but not received is shown on the:,Asset side,Liability side,Debit of P&L,Credit of Trading,Asset side
BK,Chapter 1 : Partnership Final Accounts,Bank Overdraft is shown under:,Fixed Assets,Current Liabilities,Current Assets,Investments,Current Liabilities
BK,Chapter 1 : Partnership Final Accounts,Goodwill is an example of a/an:,Tangible Asset,Intangible Asset,Fictitious Asset,Current Asset,Intangible Asset
BK,Chapter 1 : Partnership Final Accounts,Patents and Trademarks appear on which side of the Balance Sheet?,Asset,Liability,Both,None of the above,Asset
BK,Chapter 1 : Partnership Final Accounts,Provident Fund contribution by the employer is debited to:,Trading A/c,Profit & Loss A/c,Capital A/c,Balance Sheet,Profit & Loss A/c
BK,Chapter 1 : Partnership Final Accounts,Cash in hand is a/an:,Current Asset,Fixed Asset,Intangible Asset,Liability,Current Asset
BK,Chapter 1 : Partnership Final Accounts,Discount allowed is shown on the debit side of:,Trading A/c,Profit & Loss A/c,Capital A/c,Balance Sheet,Profit & Loss A/c
BK,Chapter 1 : Partnership Final Accounts,Partners share profit/loss in their _________ ratio.,Capital,Sacrifice,Profit Sharing,Gain,Profit Sharing
BK,Chapter 1 : Partnership Final Accounts,Balance Sheet is a statement showing:,Income & Expenses,Financial Position,Cash flow,Production,Financial Position
BK,Chapter 1 : Partnership Final Accounts,Factory lighting is debited to:,Trading A/c,Profit & Loss A/c,Capital A/c,Balance Sheet,Trading A/c
BK,Chapter 1 : Partnership Final Accounts,Office lighting is debited to:,Trading A/c,Profit & Loss A/c,Capital A/c,Balance Sheet,Profit & Loss A/c
BK,Chapter 1 : Partnership Final Accounts,An amount which cannot be recovered from Debtors is called:,Discount,Bad Debts,Drawings,Charity,Bad Debts
BK,Chapter 1 : Partnership Final Accounts,"If 'Rent (for 10 months) ?10,000' is given in the Trial Balance, what is the Outstanding Rent amount?","?2,000","?1,000","?5,000",No Outstanding,"?2,000"
BK,Chapter 1 : Partnership Final Accounts,"If 'Insurance (for 15 months) ?15,000' is given, what is the Prepaid Insurance?","?3,000","?5,000","?12,000","?1,000","?3,000"
BK,Chapter 1 : Partnership Final Accounts,"Advertisement for 3 years ?30,000. Amount for current year is:","?10,000","?30,000","?20,000","?15,000","?10,000"
BK,Chapter 1 : Partnership Final Accounts,"10% Bank Loan ?50,000 taken on 1st Oct. Interest for 6 months is:","?2,500","?5,000","?1,250",?500,"?2,500"
BK,Chapter 1 : Partnership Final Accounts,Accrued Interest on Govt Bonds is shown on:,Asset side,Liability side,Trading Dr,P&L Cr,Asset side
BK,Chapter 1 : Partnership Final Accounts,"Goods worth ?5,000 destroyed by fire, insurance claim ?3,000. Net loss to P&L is:","?2,000","?5,000","?3,000","?8,000","?2,000"
BK,Chapter 1 : Partnership Final Accounts,Uninsured goods stolen. Effects are:,Trading Cr & P&L Dr,Trading Cr & Asset,Trading Cr & Liability,P&L Dr & Asset,Trading Cr & P&L Dr
BK,Chapter 1 : Partnership Final Accounts,Goods distributed as free samples are recorded as:,Advertisement,Purchases,Sales,Charity,Advertisement
BK,Chapter 1 : Partnership Final Accounts,Partner withdraws goods for personal use. Effects are:,Trading Cr & Capital Dr,Trading Dr & Capital Cr,P&L Dr & Capital Cr,Asset & Liability,Trading Cr & Capital Dr
BK,Chapter 1 : Partnership Final Accounts,Closing Stock is valued at:,"Cost or Market price, whichever is less",Cost price always,Market price always,Average price,"Cost or Market price, whichever is less"
BK,Chapter 1 : Partnership Final Accounts,New RDD is calculated on:,Net Debtors,Gross Debtors,Creditors,Sales,Net Debtors
BK,Chapter 1 : Partnership Final Accounts,Unrecorded Sales are:,Added to Debtors & Sales,Deducted from Debtors,Ignored,Added to Creditors,Added to Debtors & Sales
BK,Chapter 1 : Partnership Final Accounts,Bills Receivable dishonoured:,"Add to Debtors, Less from B/R",Less from Debtors,Add to Creditors,Add to Cash,"Add to Debtors, Less from B/R"
BK,Chapter 1 : Partnership Final Accounts,"If New RDD is less than Old RDD, the difference is shown on:",P&L Credit,P&L Debit,Asset,Liability,P&L Credit
BK,Chapter 1 : Partnership Final Accounts,Reserve for discount on Debtors is calculated:,After deducting New Bad debts & RDD,On Gross Debtors,Before Bad debts,On Sales,After deducting New Bad debts & RDD
BK,Chapter 1 : Partnership Final Accounts,Unrecorded Purchases are:,Added to Purchases & Creditors,Added to Debtors,Less from Purchases,Less from Creditors,Added to Purchases & Creditors
BK,Chapter 1 : Partnership Final Accounts,Bills Payable dishonoured:,"Add to Creditors, Less from B/P",Less from Creditors,Add to Debtors,Add to Sales,"Add to Creditors, Less from B/P"
BK,Chapter 1 : Partnership Final Accounts,Reserve for discount on Creditors is shown on:,P&L Credit,P&L Debit,Asset,Trading Dr,P&L Credit
BK,Chapter 1 : Partnership Final Accounts,Return Outward is:,Purchase Return,Sales Return,Carriage,Bad debts,Purchase Return
BK,Chapter 1 : Partnership Final Accounts,Return Inward is:,Sales Return,Purchase Return,Freight,Drawings,Sales Return
BK,Chapter 1 : Partnership Final Accounts,"Under Fixed Capital, all adjustments go to:",Current A/c,Capital A/c,Loan A/c,Cash A/c,Current A/c
BK,Chapter 1 : Partnership Final Accounts,"Under Fluctuating Capital, all adjustments go to:",Capital A/c,Current A/c,Trading A/c,P&L A/c,Capital A/c
BK,Chapter 1 : Partnership Final Accounts,"Date of drawings not given, interest is charged for:",6 months,12 months,3 months,No interest,6 months
BK,Chapter 1 : Partnership Final Accounts,Interest on Partner's Loan (if silent) is:,6% p.a.,5% p.a.,10% p.a.,Not allowed,6% p.a.
BK,Chapter 1 : Partnership Final Accounts,Interest on Capital is an ________ for the firm.,Expense,Income,Asset,Liability,Expense
BK,Chapter 1 : Partnership Final Accounts,Wages for installation of Machinery is added to:,Machinery,Wages,Capital,P&L,Machinery
BK,Chapter 1 : Partnership Final Accounts,Wages and Salaries goes to:,Trading A/c,Profit & Loss A/c,Balance Sheet,Current A/c,Trading A/c
BK,Chapter 1 : Partnership Final Accounts,Salaries and Wages goes to:,Profit & Loss A/c,Trading A/c,Balance Sheet,Capital A/c,Profit & Loss A/c
BK,Chapter 1 : Partnership Final Accounts,Trade Expenses (alone) goes to:,Profit & Loss A/c,Trading A/c,Asset,Liability,Profit & Loss A/c
BK,Chapter 1 : Partnership Final Accounts,Trade Expenses (with General Exp) goes to:,Trading A/c,Profit & Loss A/c,Current A/c,Balance Sheet,Trading A/c
BK,Chapter 1 : Partnership Final Accounts,Import Duty is debited to:,Trading A/c,Profit & Loss A/c,Asset,Capital,Trading A/c
BK,Chapter 1 : Partnership Final Accounts,Export Duty is debited to:,Profit & Loss A/c,Trading A/c,Liability,Capital,Profit & Loss A/c
BK,Chapter 1 : Partnership Final Accounts,Royalty on Production is debited to:,Trading A/c,Profit & Loss A/c,Asset,Capital,Trading A/c
BK,Chapter 1 : Partnership Final Accounts,Royalty on Sales is debited to:,Profit & Loss A/c,Trading A/c,Liability,Capital,Profit & Loss A/c
BK,Chapter 1 : Partnership Final Accounts,Import (Trading) and Export (P&L):,TRUE,FALSE,Both Trading,Both P&L,TRUE
BK,Chapter 1 : Partnership Final Accounts,Commission received in advance is a:,Liability,Asset,Income,Expense,Liability
BK,Chapter 1 : Partnership Final Accounts,Interest on Investment due but not received is a:,Asset,Liability,Expense,Loss,Asset
BK,Chapter 1 : Partnership Final Accounts,Outstanding Rent is a:,Liability,Asset,Capital,Expense,Liability
BK,Chapter 1 : Partnership Final Accounts,Prepaid Insurance is a:,Asset,Liability,Income,Expense,Asset
BK,Chapter 1 : Partnership Final Accounts,Loss on sale of Asset is debited to:,Profit & Loss A/c,Trading A/c,Asset A/c,Capital A/c,Profit & Loss A/c
BK,Chapter 1 : Partnership Final Accounts,COGS = Op Stock + Purchase + Direct Exp - Closing Stock:,TRUE,FALSE,Only Op Stock,Only Purchase,TRUE
BK,Chapter 1 : Partnership Final Accounts,Gross Profit = Sales - COGS:,TRUE,FALSE,Sales + COGS,COGS - Sales,TRUE
BK,Chapter 1 : Partnership Final Accounts,Operating Profit = GP - Operating Expenses:,TRUE,FALSE,GP + Expenses,Net Profit,TRUE
BK,Chapter 1 : Partnership Final Accounts,Partner's Commission on Net Profit is debited to:,Profit & Loss A/c,Trading A/c,Balance Sheet,Asset,Profit & Loss A/c
BK,Chapter 1 : Partnership Final Accounts,Depreciation is charged on:,Fixed Assets,Current Assets,Only Cash,Only Debtors,Fixed Assets
BK,Chapter 1 : Partnership Final Accounts,Partnership Registration is compulsory in Maharashtra:,TRUE,FALSE,Optional,Only for big firms,TRUE
BK,Chapter 1 : Partnership Final Accounts,"No agreement, profits shared equally:",TRUE,FALSE,In Capital ratio,In Time ratio,TRUE
BK,Chapter 1 : Partnership Final Accounts,Maximum partners in a firm are:,50,20,100,Unlimited,50
BK,Chapter 1 : Partnership Final Accounts,Balance Sheet is a Statement:,TRUE,FALSE,It is an Account,It is a Ledger,TRUE
BK,Chapter 1 : Partnership Final Accounts,Goodwill is an Intangible Asset:,TRUE,FALSE,Tangible,Fictitious,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),NPO is established for:,Services,Profit,Trading,Dividend,Services
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Example of NPO is:,Schools/Hospitals,Reliance,Tata,Shop,Schools/Hospitals
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Main income of NPO is:,Subscription,Sales,Gross Profit,Capital,Subscription
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Receipts & Payments A/c is a summary of:,Cash Book,Pass Book,Ledger,Balance Sheet,Cash Book
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Receipts & Payments A/c is a __________ Account:,Real,Nominal,Personal,Capital,Real
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Income & Expenditure A/c is a __________ Account:,Nominal,Real,Personal,Asset,Nominal
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Income & Expenditure A/c shows:,Surplus/Deficit,Net Profit,Cash balance,Capital,Surplus/Deficit
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Receipts are recorded on the __________ side:,Debit,Credit,Asset,Liability,Debit
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Incomes are recorded on the __________ side:,Credit,Debit,Liability,Asset,Credit
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Income & Expenditure A/c is on __________ basis:,Accrual,Cash,Mixed,Single,Accrual
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Only __________ items are in I&E A/c:,Revenue,Capital,Deferred,Both,Revenue
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Receipts & Payments A/c records __________ items:,Both Capital & Revenue,Only Capital,Only Revenue,None of the above,Both Capital & Revenue
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Outstanding subscription (current year) is an:,Asset,Liability,Expense,Loss,Asset
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Subscription received in advance is a:,Liability,Asset,Income,Expense,Liability
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Periodic payment by members is called:,Subscription,Donation,Legacy,Entrance Fee,Subscription
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Entrance fees are generally __________:,Revenue,Capital,Asset,Liability,Revenue
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Legacies are generally __________:,Capitalised,Revenue,Expense,Deducted,Capitalised
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Specific Donation is shown as:,Liability,Asset,Income,Expense,Liability
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),General Donation is treated as:,Revenue Income,Capital,Liability,Asset,Revenue Income
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Life Membership Fees are __________:,Capital Receipt,Revenue,Expense,Short-term,Capital Receipt
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Sale of old newspapers is:,Revenue Receipt,Capital,Liability,Asset,Revenue Receipt
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Profit on sale of Asset is credited to:,Income & Expenditure A/c,Receipts A/c,Capital Fund,Asset A/c,Income & Expenditure A/c
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Loss on sale of Asset is debited to:,Income & Expenditure A/c,Capital Fund,Asset A/c,Cash A/c,Income & Expenditure A/c
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Depreciation is a __________ expense:,Non-cash,Cash,Capital,Personal,Non-cash
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Depreciation in NPO is debited to:,Income & Expenditure A/c,Receipts A/c,Trading A/c,Capital,Income & Expenditure A/c
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Honorarium paid is __________ payment:,Revenue,Capital,Asset,Liability,Revenue
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Purchase of Sports Equipment is __________:,Capital Expenditure,Revenue,Expense,Liability,Capital Expenditure
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Excess of Income over Expenditure is:,Surplus,Deficit,Net Profit,Net Loss,Surplus
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Excess of Expenditure over Income is:,Deficit,Surplus,Net Loss,Net Profit,Deficit
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Surplus is __________ to Capital Fund:,Added,Deducted,Ignored,Asset,Added
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Deficit is __________ from Capital Fund:,Deducted,Added,Ignored,Liability,Deducted
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Capital Fund = Total Assets - Total Liabilities:,TRUE,FALSE,Assets + Liabilities,Income - Exp,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Opening Balance Sheet gives:,Capital Fund,Cash balance,Surplus,Deficit,Capital Fund
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Opening cash is on __________ of R&P A/c:,Debit side,Credit side,Asset,Liability,Debit side
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),R&P Credit balance at end means:,Bank Overdraft,Cash in hand,Capital,Asset,Bank Overdraft
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Which is NOT in I&E A/c?,Purchase of furniture,Salaries,Rent,Depreciation,Purchase of furniture
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Repairs to old building is:,Revenue Expenditure,Capital,Asset,Liability,Revenue Expenditure
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Building construction is:,Capital Expenditure,Revenue,Income,Liability,Capital Expenditure
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Tournament Fund is a:,Liability,Asset,Income,Expense,Liability
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Tournament Expenses are deducted from:,Tournament Fund,I&E A/c,Capital Fund,Cash,Tournament Fund
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Outstanding expenses are __________ to expense:,Added,Deducted,Ignored,Asset,Added
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Prepaid expenses are __________ from expense:,Deducted,Added,Ignored,Liability,Deducted
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Prev year O/S subscription received is __________:,Deducted,Added,Ignored,Asset,Deducted
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Prev year advance for Current year is __________:,Added,Deducted,Ignored,Liability,Added
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Stationery Consumed = Op + Purchase - Cl Stock:,TRUE,FALSE,Op - Purchase,Purchase - Cl,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Stock of stationery at end is an:,Asset,Liability,Income,Expense,Asset
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Specific Govt Grant is a:,Capital Receipt,Revenue,Income,Expense,Capital Receipt
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Endowment Fund is __________:,Capital Receipt,Revenue,Recurring,Minor,Capital Receipt
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),R&P A/c is like Cash Book:,TRUE,FALSE,Like Trial Balance,Like P&L,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),I&E A/c is like Profit & Loss A/c:,TRUE,FALSE,Like Cash Book,Like Trading,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),NPOs do not prepare Trading A/c:,TRUE,FALSE,Only big ones,Sometimes,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Specific Fund expense is deducted from that Fund:,TRUE,FALSE,I&E Debit,I&E Credit,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Income from specific fund investment is added to Fund:,TRUE,FALSE,I&E Credit,Capital Fund,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),"50% Entrance Fees capitalised, rest is Revenue:",TRUE,FALSE,Rest is Asset,Rest is Liability,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Non-cash items are NOT in R&P A/c:,TRUE,FALSE,They are in it,Sometimes,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Locker Rent is Revenue Receipt:,TRUE,FALSE,Capital,Liability,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Books for Library is Capital Expenditure:,TRUE,FALSE,Revenue,Asset Liability,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),"Prize Fund 10k, Prize 12k. 2k extra to I&E Debit:",TRUE,FALSE,To Capital Fund,To Asset,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Billiard Table is an Asset:,TRUE,FALSE,Expense,Liability,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Capital Fund is also General Fund:,TRUE,FALSE,Endowment,Prize Fund,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Current year O/S Rent is a Liability:,TRUE,FALSE,Asset,Capital,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Prev year O/S sub in Op. B/S is an Asset:,TRUE,FALSE,Liability,Debit of I&E,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Prev year advance sub in Op. B/S is a Liability:,TRUE,FALSE,Asset,Capital,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Cl stock of Medicine is an Asset:,TRUE,FALSE,Liability,Income,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Sale of old sports material is Revenue Income:,TRUE,FALSE,Capital,Liability,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Loss on sale of furniture to I&E Debit:,TRUE,FALSE,To Capital Fund,To Asset,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Op. Cash/Bank in R&P is balance at beginning:,TRUE,FALSE,At end,At middle,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Cl. balance of R&P to Cl. Balance Sheet:,TRUE,FALSE,To I&E,To Capital Fund,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Legacies as Revenue goes to I&E Credit:,TRUE,FALSE,To Capital Fund,To Asset,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Capitalised Entrance Fees to Capital Fund:,TRUE,FALSE,I&E Debit,I&E Credit,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Bank interest is Revenue Income:,TRUE,FALSE,Capital,Liability,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Deficit = Exp > Income:,TRUE,FALSE,Income > Exp,Asset > Liab,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Surplus = Income > Exp:,TRUE,FALSE,Exp > Income,Liab > Asset,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Donation for Pavilion is Capital Receipt:,TRUE,FALSE,Revenue,Asset,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Salary 5k (1k prev year). 4k is current exp:,TRUE,FALSE,6k,5k,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Sub 10k (2k next year). 8k is current income:,TRUE,FALSE,12k,10k,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Library Books is Capital Exp:,TRUE,FALSE,Revenue,Loss,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Municipal taxes is Revenue Exp:,TRUE,FALSE,Capital,Asset,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),R&P A/c does not separate Cap/Rev:,TRUE,FALSE,It separates,Only Rev,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),I&E A/c records only current year:,TRUE,FALSE,All years,Next year,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),NPO prepares Final Accounts at end:,TRUE,FALSE,Only cash book,Monthly,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),"Match Fund 50k, Exp 40k. 10k is Liability:",TRUE,FALSE,Asset,Income,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Fixed Deposit is an Asset:,TRUE,FALSE,Expense,Liability,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Sale of old periodicals is Revenue Income:,TRUE,FALSE,Capital,Asset,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Profit on machinery sale to I&E Credit:,TRUE,FALSE,To Machinery,Capital Fund,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Building depreciation to I&E Debit:,TRUE,FALSE,To Building,Ignored,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Capital Fund = Assets - Ext. Liab:,TRUE,FALSE,Income - Exp,Cash - Bank,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Endowment Fund is a Liability:,TRUE,FALSE,Asset,Revenue Income,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Income due but not received is Accrued Income:,TRUE,FALSE,Unearned,Deficit,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),O/S subscription 500 is an Asset:,TRUE,FALSE,Liability,Capital,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Rent paid in advance 1000 is an Asset:,TRUE,FALSE,Liability,Capital,TRUE
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Subscription in advance 2000 is a Liability:,TRUE,FALSE,Asset,Capital,TRUE
